,Census Tract,Median Income,CT,Total Population,Voting Population,White,White %,White Voting Population,Black or African American,Black or African American %,Black or African American Voting Population,American Indian and Alaska Native,American Indian and Alaska Native %,American Indian and Alaska Native Voting Population,Asian,Asian %,Asian Voting Population,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander %,Native Hawaiian and Other Pacific Islander Voting Population,Some other race,Some other race %,Some other race Voting Population,Two or more races,Two or more races %,Two or more races Voting Population
22,Census Tract 25,96023,002500,1661,1244,1397,0.841059602649,1046.2781457,62,0.0373269114991,46.4346779049,0,0.0,0.0,95,0.057194461168,71.149909693,0,0.0,0.0,16,0.00963275135461,11.9831426851,91,0.0547862733293,68.1541240217
23,Census Tract 26,75625,002600,2741,2234,2253,0.821962787304,1836.26486684,192,0.070047427946,156.485954031,0,0.0,0.0,167,0.0609266690989,136.110178767,0,0.0,0.0,73,0.0266326158336,59.4972637723,56,0.0204304998176,45.6417365925
24,Census Tract 27,31747,002700,3761,2889,1838,0.488699813879,1411.8537623,1165,0.309758043074,894.89098644,65,0.0172826375964,49.929540016,243,0.0646104759373,186.659664983,0,0.0,0.0,217,0.0576974208987,166.687848976,233,0.0619516086147,178.978197288
25,Census Tract 28,26827,002800,3448,2306,1469,0.426044083527,982.457656613,858,0.248839907193,573.824825986,114,0.0330626450116,76.2424593968,159,0.0461136890951,106.338167053,8,0.00232018561485,5.35034802784,333,0.0965777262181,222.708236659,507,0.147041763341,339.078306265
26,Census Tract 29,46973,002900,5219,4291,3893,0.745928338762,3200.77850163,372,0.0712780226097,305.853995018,0,0.0,0.0,151,0.0289327457367,124.150411956,180,0.0344893657789,147.993868557,197,0.0377466947691,161.971067254,426,0.0816248323434,350.252155585
27,Census Tract 30,57232,003000,6546,5394,4640,0.708829819737,3823.42804766,407,0.0621753742744,335.373968836,65,0.00992972807822,53.5609532539,630,0.096241979835,519.12923923,0,0.0,0.0,414,0.0632447296059,341.142071494,390,0.0595783684693,321.365719523
28,Census Tract 31.01,42841,003101,3350,2455,1863,0.556119402985,1365.27313433,157,0.0468656716418,115.055223881,34,0.0101492537313,24.9164179104,211,0.0629850746269,154.628358209,0,0.0,0.0,782,0.233432835821,573.07761194,303,0.090447761194,222.049253731
29,Census Tract 31.02,43125,003102,2964,2080,1807,0.609649122807,1268.07017544,333,0.112348178138,233.684210526,13,0.00438596491228,9.12280701754,273,0.0921052631579,191.578947368,0,0.0,0.0,263,0.0887314439946,184.561403509,275,0.0927800269906,192.98245614
30,Census Tract 32.02,33636,003202,5290,3953,1914,0.361814744802,1430.2536862,781,0.14763705104,583.60926276,43,0.00812854442344,32.1321361059,1455,0.275047258979,1087.26181474,12,0.00226843100189,8.96710775047,672,0.127032136106,502.158034026,413,0.0780718336484,308.617958412
31,Census Tract 32.03,36648,003203,3217,2232,577,0.17935965185,400.330742928,305,0.0948088281007,211.613304321,47,0.014609884986,32.6092632888,1502,0.466894622319,1042.10879702,121,0.0376126826236,83.9515076158,543,0.168790798881,376.741063102,122,0.0379235312403,84.6453217283
32,Census Tract 32.04,34231,003204,5618,4192,2002,0.356354574582,1493.83837665,429,0.0763616945532,320.108223567,25,0.00444998220007,18.6543253827,2438,0.433962264151,1819.16981132,31,0.00551797792809,23.1313634745,483,0.0859736561054,360.401566394,210,0.0373798504806,156.696333215
33,Census Tract 33,68472,003300,4085,3232,2632,0.644308445532,2082.40489596,185,0.0452876376989,146.369645043,6,0.00146878824969,4.74712362301,723,0.176988984088,572.028396573,0,0.0,0.0,133,0.0325581395349,105.227906977,406,0.099388004896,321.222031824
34,Census Tract 34,62905,003400,4504,3601,2483,0.551287744227,1985.18716696,577,0.128108348135,461.318161634,18,0.00399644760213,14.3912078153,773,0.171625222025,618.022424512,83,0.0184280639432,66.3594582593,276,0.0612788632327,220.665186501,294,0.0652753108348,235.056394316
35,Census Tract 35.01,39984,003501,2555,2050,1785,0.698630136986,1432.19178082,139,0.0544031311155,111.526418787,11,0.00430528375734,8.82583170254,249,0.0974559686888,199.784735812,0,0.0,0.0,142,0.0555772994129,113.933463796,229,0.0896281800391,183.73776908
36,Census Tract 35.02,44926,003502,2507,2098,1422,0.567211806941,1190.01037096,175,0.0698045472677,146.449940168,0,0.0,0.0,491,0.195851615477,410.89668927,0,0.0,0.0,263,0.104906262465,220.093338652,156,0.06222576785,130.549660949
37,Census Tract 36,35109,003600,3010,2182,1748,0.58073089701,1267.15481728,168,0.0558139534884,121.786046512,66,0.021926910299,47.8445182724,341,0.113289036545,247.196677741,62,0.0205980066445,44.9448504983,537,0.178405315615,389.280398671,88,0.0292358803987,63.7926910299
38,Census Tract 37,23889,003700,3968,2761,1545,0.389364919355,1075.03654234,686,0.172883064516,477.330141129,40,0.0100806451613,27.8326612903,625,0.157510080645,434.885332661,0,0.0,0.0,395,0.0995463709677,274.847530242,677,0.170614919355,471.067792339
39,Census Tract 38,51127,003800,5619,4072,2047,0.364299697455,1483.42836804,1720,0.306104289019,1246.45666489,56,0.00996618615412,40.5823100196,1063,0.189179569318,770.339206264,92,0.0163730201103,66.6709378893,235,0.0418223883253,170.300765261,406,0.0722548496174,294.221747642
40,Census Tract 39,63607,003900,3510,2789,2111,0.601424501425,1677.37293447,155,0.0441595441595,123.160968661,33,0.00940170940171,26.2213675214,822,0.234188034188,653.15042735,9,0.0025641025641,7.15128205128,24,0.00683760683761,19.0700854701,356,0.101424501425,282.872934473
41,Census Tract 40.01,50953,004001,4999,4392,2477,0.49549909982,2176.23204641,576,0.115223044609,506.059611922,11,0.00220044008802,9.66433286657,1483,0.296659331866,1302.92778556,0,0.0,0.0,102,0.0204040808162,89.6147229446,350,0.0700140028006,307.5015003
42,Census Tract 40.04,87023,004004,6278,5362,3492,0.55622809812,2982.49506212,344,0.0547945205479,293.808219178,0,0.0,0.0,1905,0.303440586174,1627.04842306,0,0.0,0.0,334,0.0532016565785,285.267282574,203,0.0323351385792,173.381013061
43,Census Tract 40.05,65173,004005,4327,3705,2345,0.541945920961,2007.90963716,662,0.152992835683,566.838456205,67,0.0154841691703,57.3688467761,968,0.223711578461,828.851398197,5,0.00115553501271,4.28125722209,47,0.0108620291195,40.2438178877,233,0.0538479315923,199.50658655
44,Census Tract 40.06,50262,004006,5054,3885,2222,0.439651760981,1708.04709141,1089,0.215472892758,837.112188366,0,0.0,0.0,948,0.187574198655,728.725761773,0,0.0,0.0,108,0.0213692125049,83.0193905817,687,0.135931935101,528.095567867
45,Census Tract 40.08,79805,004008,3621,2768,2015,0.556476111571,1540.32587683,183,0.0505385252693,139.890637945,0,0.0,0.0,890,0.245788456228,680.342446838,13,0.00359016846175,9.93758630213,200,0.05523336095,152.88594311,320,0.08837337752,244.617508975
46,Census Tract 40.09,68474,004009,4763,3910,1573,0.33025404157,1291.29330254,974,0.204492966618,799.567499475,12,0.00251942053328,9.85093428511,1452,0.304849884527,1191.9630485,0,0.0,0.0,178,0.0373714045769,146.122191896,574,0.120512282175,471.203023305
47,Census Tract 40.10,52260,004010,5066,3962,1692,0.333991314647,1323.27358863,1644,0.324516383735,1285.73391236,22,0.00434267666798,17.2056849585,1079,0.212988551125,843.860639558,36,0.00710619818397,28.1547572049,47,0.00927753651796,36.7575996842,546,0.107777339124,427.013817608
